2025-05-17 17:01:40 - INFO - Application initialized with Tabs and Graphs.
2025-05-17 17:01:49 - INFO - Starting monitoring...
2025-05-17 17:01:49 - INFO - CPU: 27.6%, Mem: 85.7%, Disk(/): 18.4%
2025-05-17 17:01:51 - INFO - CPU: 13.2%, Mem: 85.7%, Disk(/): 18.4%
2025-05-17 17:01:52 - INFO - CPU: 18.3%, Mem: 85.1%, Disk(/): 18.4%
2025-05-17 17:01:53 - INFO - CPU: 25.6%, Mem: 85.2%, Disk(/): 18.4%
2025-05-17 17:01:55 - INFO - CPU: 8.4%, Mem: 84.5%, Disk(/): 18.4%
2025-05-17 17:01:56 - INFO - CPU: 17.1%, Mem: 84.9%, Disk(/): 18.4%
2025-05-17 17:01:58 - INFO - CPU: 28.4%, Mem: 85.9%, Disk(/): 18.4%
2025-05-17 17:01:59 - INFO - CPU: 15.6%, Mem: 84.9%, Disk(/): 18.4%
2025-05-17 17:02:01 - INFO - CPU: 14.6%, Mem: 84.2%, Disk(/): 18.4%
2025-05-17 17:02:02 - INFO - CPU: 18.3%, Mem: 83.8%, Disk(/): 18.4%
2025-05-17 17:02:04 - INFO - CPU: 18.9%, Mem: 86.7%, Disk(/): 18.4%
2025-05-17 17:02:05 - INFO - CPU: 15.6%, Mem: 85.0%, Disk(/): 18.4%
2025-05-17 17:02:07 - INFO - CPU: 14.9%, Mem: 84.0%, Disk(/): 18.4%
2025-05-17 17:02:08 - INFO - CPU: 11.9%, Mem: 83.5%, Disk(/): 18.4%
2025-05-17 17:02:10 - INFO - CPU: 27.1%, Mem: 84.1%, Disk(/): 18.4%
2025-05-17 17:02:11 - INFO - CPU: 12.1%, Mem: 83.8%, Disk(/): 18.4%
2025-05-17 17:02:13 - INFO - CPU: 7.0%, Mem: 84.0%, Disk(/): 18.4%
2025-05-17 17:02:14 - INFO - CPU: 46.5%, Mem: 84.1%, Disk(/): 18.4%
2025-05-17 17:02:15 - INFO - CPU: 28.6%, Mem: 84.7%, Disk(/): 18.5%
